YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1943,999.90,-12.85,-14.64,-10.00,-1.79,3.46,6.07,5.79,3.29,-1.91,-4.73,-6.01,999.90,-8.81,5.11,-1.12,-4.32
1944,-15.75,-14.12,-15.17,-6.92,-3.24,3.38,5.37,6.06,3.00,-1.36,-6.41,-9.08,-11.96,-8.44,4.94,-1.59,-4.26
1945,-8.19,-18.90,-11.90,-11.78,-1.95,4.36,5.55,6.05,999.90,999.90,999.90,999.90,-12.06,-8.54,5.32,999.90,-4.18
1946,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1947,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1948,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1949,-16.21,-22.01,-14.31,999.90,999.90,999.90,999.90,999.90,999.90,-2.71,999.90,-8.71,-17.39,999.90,999.90,999.90,999.90
1950,-19.01,999.90,999.90,-11.81,-1.01,999.90,7.39,6.89,3.29,-2.41,-5.71,-5.29,-15.35,-9.80,6.24,-1.61,-5.13
1951,-11.89,-19.59,-14.79,-11.19,0.31,6.21,7.01,6.61,4.41,-2.69,999.90,-10.87,-12.26,-8.56,6.61,-1.17,-3.84
1952,-14.67,-15.76,-17.07,-8.86,0.43,4.63,6.83,7.53,4.13,-0.67,-3.87,-5.65,-13.77,-8.50,6.33,-0.14,-4.02
1953,-11.05,-13.95,-16.55,-4.35,0.35,3.35,7.25,6.15,999.90,-3.15,-7.75,-14.83,-10.22,-6.85,5.58,-3.30,-3.70
1954,-11.43,-17.72,-10.93,-5.23,0.77,3.57,5.47,6.07,2.97,-1.83,-5.43,-13.61,-14.66,-5.13,5.04,-1.43,-4.05
1955,-17.81,-12.91,-13.11,-13.01,-1.11,4.49,5.19,4.89,2.19,0.39,-4.61,-7.89,-14.78,-9.08,4.86,-0.68,-4.92
1956,-16.99,-15.68,-13.09,-5.69,-1.69,2.41,6.41,6.51,2.21,-2.69,-7.49,-14.77,-13.52,-6.82,5.11,-2.66,-4.47
1957,-18.37,-17.27,-13.97,-8.47,-0.57,5.13,8.23,7.43,4.63,-1.97,-5.07,-10.55,-16.80,-7.67,6.93,-0.80,-4.59
1958,-14.59,999.90,999.90,999.90,999.90,4.79,8.53,7.10,3.12,-1.23,999.90,999.90,-14.06,999.90,6.81,-1.08,-4.15
1959,-8.18,-16.36,-20.50,-8.75,0.63,4.35,7.06,6.18,3.06,-0.50,-4.29,-9.42,-10.55,-9.54,5.86,-0.58,-3.70
1960,-10.84,-9.82,-19.34,-12.41,-0.03,4.95,9.02,9.16,3.52,3.21,-2.78,-7.28,-10.03,-10.59,7.71,1.32,-2.90
1961,-10.72,-19.02,-19.82,-8.89,-0.35,5.87,8.04,6.82,3.64,-0.99,-5.96,-5.85,-12.34,-9.69,6.91,-1.10,-4.06
1962,-8.69,-15.00,-6.60,-4.57,0.86,4.19,7.76,6.58,3.47,-1.05,-4.85,-6.95,-9.85,-3.44,6.18,-0.81,-1.98
1963,-5.37,-5.80,-12.64,-4.76,-1.77,3.31,6.05,7.44,2.63,-2.55,-5.27,-5.61,-6.04,-6.39,5.60,-1.73,-2.14
1964,-9.50,-8.87,-17.98,-8.86,-1.83,3.98,5.52,6.47,4.20,-1.87,-5.91,-7.28,-7.99,-9.56,5.32,-1.19,-3.35
1965,-10.91,-7.04,-13.12,-8.73,2.12,4.18,7.96,8.12,3.95,-0.65,-3.23,-8.66,-8.41,-6.58,6.75,0.02,-2.05
1966,-14.78,-12.39,-15.07,-7.22,-1.42,4.02,6.49,7.45,4.18,2.25,-4.29,-9.39,-11.94,-7.90,5.99,0.71,-3.29
1967,-6.97,-13.83,-16.02,-10.92,0.84,3.67,7.18,7.21,2.99,-2.43,-6.94,-8.82,-10.06,-8.70,6.02,-2.13,-3.72
1968,-14.67,-14.59,-18.89,-5.70,1.20,4.08,8.26,6.18,3.36,-0.31,-4.30,-6.22,-12.69,-7.80,6.17,-0.42,-3.68
1969,-7.43,-8.28,-14.25,-8.20,0.75,3.99,6.69,6.71,3.39,-2.20,-4.52,-10.76,-7.31,-7.23,5.80,-1.11,-2.46
1970,-17.05,-12.70,-14.38,-9.14,-3.70,2.73,5.39,5.01,3.87,-0.56,-4.97,-8.60,-13.50,-9.07,4.38,-0.55,-4.69
1971,-13.48,-18.92,-16.16,-10.73,-1.76,4.01,7.53,5.62,3.48,-3.05,-5.74,-18.77,-13.67,-9.55,5.72,-1.77,-4.82
1972,-18.35,-16.37,-19.07,-12.68,-0.21,2.05,4.39,5.48,3.80,-0.96,-6.87,-10.12,-17.83,-10.65,3.97,-1.34,-6.46
1973,-9.82,-17.20,-16.15,-5.49,-2.12,3.15,6.17,6.29,3.37,-0.53,-4.45,-7.33,-12.38,-7.92,5.20,-0.54,-3.91
1974,-11.62,-12.94,-10.11,-6.74,0.01,4.63,7.57,6.82,3.44,0.32,-5.51,-15.71,-10.63,-5.61,6.34,-0.58,-2.62
1975,-16.54,-14.66,-16.02,-8.53,-0.38,4.32,7.72,7.56,2.91,-0.37,-5.27,-10.96,-15.64,-8.31,6.53,-0.91,-4.58
1976,-16.47,-16.38,-14.77,-10.00,-1.13,4.83,6.68,5.35,5.03,-1.04,-3.31,-5.02,-14.60,-8.63,5.62,0.23,-4.35
1977,-8.14,-11.02,-9.79,-5.39,0.78,3.81,9.31,7.28,2.90,-1.32,-2.85,-8.61,-8.06,-4.80,6.80,-0.42,-1.62
1978,-12.32,-12.50,-14.59,-7.62,-1.44,2.37,8.20,7.38,3.93,-1.38,-8.41,-1.96,-11.14,-7.88,5.98,-1.95,-3.75
1979,-7.21,-11.37,-11.49,-4.24,-0.29,3.50,7.01,6.94,3.03,-0.19,-6.84,-8.52,-6.85,-5.34,5.82,-1.33,-1.93
1980,-3.69,-8.64,-8.01,-8.22,0.25,3.37,7.06,7.03,4.11,-0.61,-3.75,-7.74,-6.95,-5.33,5.82,-0.08,-1.64
1981,-12.39,-16.98,-12.55,-7.97,-0.19,4.64,7.57,6.20,4.20,-0.55,-5.45,-5.58,-12.37,-6.90,6.14,-0.60,-3.43
1982,-9.13,-19.32,-16.33,-9.13,-2.43,4.02,7.07,5.62,2.17,-1.58,-7.33,-13.60,-11.34,-9.30,5.57,-2.25,-4.33
1983,-28.86,-22.91,-23.61,-11.55,-2.76,2.99,5.24,4.29,2.64,-2.61,-6.26,-11.28,-21.79,-12.64,4.17,-2.08,-8.08
1984,-23.84,-30.38,-18.04,-14.49,-4.58,2.26,7.56,5.56,2.61,-2.09,-4.34,-11.27,-21.83,-12.37,5.13,-1.27,-7.59
1985,-7.11,-14.72,-13.67,-6.97,1.53,5.43,7.03,6.83,4.28,-1.62,-3.02,-4.80,-11.03,-6.37,6.43,-0.12,-2.77
1986,-7.30,-3.85,-12.05,-6.90,0.15,3.60,6.35,7.25,4.75,-3.10,-7.75,-10.28,-5.32,-6.27,5.73,-2.03,-1.97
1987,-12.08,-18.49,-15.78,-12.67,-0.66,4.84,6.40,8.70,4.17,-1.38,-3.85,-7.81,-13.62,-9.70,6.65,-0.35,-4.26
1988,-12.36,-8.82,-12.68,-8.69,-0.71,3.04,7.10,6.54,4.44,0.23,-2.66,-8.51,-9.66,-7.36,5.56,0.67,-2.70
1989,-17.55,-22.75,-21.66,-9.77,-2.20,2.96,5.94,6.02,2.05,-1.98,-3.04,-8.32,-16.27,-11.21,4.97,-0.99,-5.87
1990,-16.16,-20.86,-18.20,-11.45,-0.96,5.69,7.85,5.64,2.99,-1.50,-3.10,-13.26,-15.11,-10.20,6.39,-0.54,-4.87
1991,-19.57,-15.12,-13.83,-13.06,-3.00,3.64,7.74,5.62,3.40,-0.84,-7.13,-7.68,-15.98,-9.96,5.67,-1.52,-5.45
1992,-12.59,-25.15,-19.07,-11.06,-3.96,2.13,5.63,5.08,2.66,0.97,-6.48,-11.00,-15.14,-11.36,4.28,-0.95,-5.79
1993,-20.75,-21.28,-24.20,-11.69,-2.74,4.16,7.84,6.29,4.20,1.33,-7.00,-12.09,-17.68,-12.88,6.10,-0.49,-6.24
1994,-17.13,-16.64,-20.22,-8.18,2.03,3.48,7.24,6.67,3.06,-1.46,-5.25,-11.72,-15.29,-8.79,5.80,-1.22,-4.87
1995,-20.28,-20.82,-21.87,-6.12,2.28,6.16,8.23,5.92,4.66,-2.66,-1.47,-6.91,-17.61,-8.57,6.77,0.18,-4.81
1996,-11.58,-14.51,-15.54,-8.11,-0.88,2.31,6.23,5.80,2.95,-2.07,-5.31,-5.17,-11.00,-8.18,4.78,-1.48,-3.97
1997,-7.60,-17.02,-16.08,-9.23,0.02,6.94,5.20,5.76,3.26,-0.61,-4.03,-5.84,-9.93,-8.43,5.97,-0.46,-3.21
1998,-7.98,-18.42,-16.10,-5.15,0.68,5.29,8.09,6.99,4.56,-1.04,-3.74,-4.46,-10.75,-6.86,6.79,-0.07,-2.72
1999,-10.79,-17.12,-15.90,-5.24,-3.35,3.58,8.51,7.59,3.07,-1.48,-5.98,-6.92,-10.79,-8.16,6.56,-1.46,-3.46
2000,-11.09,-15.25,-14.71,-2.93,-0.93,5.67,7.47,6.67,4.57,-1.23,-2.93,-5.17,-11.09,-6.19,6.60,0.14,-2.63
2001,-12.67,-14.70,-11.20,-4.65,-1.07,4.23,7.83,8.13,4.63,0.73,-4.67,-5.40,-10.85,-5.64,6.73,0.23,-2.38
2002,-6.80,-18.30,-15.80,-8.70,1.90,4.90,7.00,6.30,999.90,0.00,-2.00,-4.64,-10.17,-7.53,6.07,1.15,-2.62
2003,-5.34,-12.14,-8.94,-6.44,0.66,6.56,7.16,7.66,4.86,1.76,-3.94,-5.57,-7.37,-4.91,7.13,0.89,-1.06
2004,-7.87,-9.07,-13.17,-6.67,2.03,5.23,6.43,7.13,3.73,0.83,-3.37,-10.31,-7.50,-5.94,6.26,0.40,-1.70
2005,-11.01,-9.21,-5.31,-5.11,-0.11,5.79,7.89,7.49,2.79,-1.41,-2.51,-6.04,-10.18,-3.51,7.06,-0.38,-1.75
2006,-12.94,-9.74,-7.14,-6.94,1.06,4.16,7.06,7.76,4.86,-0.04,-5.74,-7.98,-9.57,-4.34,6.33,-0.31,-1.97
2007,-8.98,-5.78,-10.58,-7.88,-0.38,4.82,8.62,7.62,3.12,-1.68,-4.58,-9.11,-7.58,-6.28,7.02,-1.05,-1.97
2008,-14.71,-16.41,-12.51,-5.51,999.90,5.19,999.90,6.69,3.39,-1.71,-4.81,-8.65,-13.41,-5.45,6.49,-1.04,-3.35
2009,-8.05,999.90,999.90,999.90,0.02,4.75,8.35,8.15,3.05,-1.55,-6.55,-3.58,-9.84,999.90,7.08,-1.68,-2.86
2010,-6.18,-4.78,-7.08,-3.28,2.42,5.42,7.92,8.72,5.82,0.92,-1.28,-2.12,-4.85,-2.65,7.35,1.82,0.42
2011,-6.42,-9.02,-12.52,-13.22,-1.72,4.78,8.88,7.78,3.48,-1.92,-5.52,-8.75,-5.85,-9.15,7.15,-1.32,-2.29
2012,-11.65,-12.75,-16.95,-5.45,1.25,7.55,8.12,6.32,4.95,0.85,-4.35,-6.29,-11.05,-7.05,7.33,0.48,-2.57
2013,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,-1.89,-6.87,-10.37,999.90,999.90,999.90,-2.23,999.90
2014,-7.02,-9.82,-13.49,-8.92,-1.02,5.58,7.28,6.98,3.48,-1.22,-4.20,-8.66,-9.07,-7.81,6.61,-0.65,-2.73
2015,-15.06,999.90,-15.16,-10.86,-2.16,3.14,8.04,6.44,2.94,-2.36,-7.86,-10.79,-13.35,-9.39,5.87,-2.43,-4.82
2016,-8.79,-10.29,-7.69,-1.99,0.51,4.51,7.41,6.91,2.91,-1.49,-4.99,-8.53,-9.96,-3.06,6.28,-1.19,-1.98
2017,-11.93,-16.83,-14.63,-10.23,999.90,3.27,6.47,5.87,2.77,-0.73,-4.83,-5.46,-12.43,-8.87,5.20,-0.93,-4.26
2018,-11.16,-17.96,-13.76,-7.56,-3.06,2.44,4.74,5.94,2.54,-3.56,-5.16,-6.40,-11.53,-8.13,4.37,-2.06,-4.33
2019,999.90,-11.20,999.90,-4.10,2.10,5.80,8.50,6.90,4.30,0.20,-1.60,-8.23,-9.03,-4.39,7.07,0.97,-1.35
2020,-12.43,-13.43,-12.33,-3.53,0.57,3.07,7.37,6.47,2.17,0.27,-5.23,-5.17,-11.36,-5.10,5.64,-0.93,-2.94
2021,-6.97,-12.07,-11.97,-5.17,1.23,4.13,6.83,7.03,0.53,-1.07,-4.67,-4.00,-8.07,-5.30,6.00,-1.74,-2.28
2022,-8.30,-15.30,-12.90,-6.80,-3.00,2.90,6.50,5.80,4.60,0.10,-4.63,-5.50,-9.20,-7.57,5.07,0.02,-2.92
2023,-12.80,-17.60,-10.00,-5.20,-1.18,1.20,5.50,6.94,2.50,-1.40,-2.57,999.90,-11.97,-5.46,4.55,-0.49,-3.34
