Date,Depth (m),Temp (Â°C),Salinity (PSU),Latitude (Decimal Degrees),Longitude (Decimal Degrees)
2018-05-27,240.0,2.007,34.1257,69.185,-53.51833333333333
2018-05-30,240.0,2.139,34.1442,69.185,-53.51833333333333
2018-06-11,240.0,2.061,34.14,69.185,-53.51833333333333
2018-08-08,240.0,1.731,34.0268,69.185,-53.51833333333333
2018-08-20,240.0,1.201,33.9056,69.185,-53.51833333333333
2018-09-10,240.0,1.542,34.0091,69.185,-53.51833333333333
2018-10-13,240.0,1.607,34.017,69.185,-53.51833333333333
2018-11-14,240.0,1.511,33.9935,69.185,-53.51833333333333
2019-07-22,240.0,2.123,34.1652,69.185,-53.51833333333333
2019-08-15,240.0,1.715,34.0828,69.185,-53.51833333333333
2019-10-14,240.0,1.353,33.9585,69.185,-53.51833333333333
2019-10-30,240.0,1.298,33.8975,69.185,-53.51833333333333
2019-11-27,240.0,1.688,34.0301,69.185,-53.51833333333333
2019-11-28,240.0,1.669,34.0174,69.185,-53.51833333333333
2020-06-18,240.0,2.444,34.2402,69.185,-53.51833333333333
2020-07-15,240.0,2.652,34.2542,69.185,-53.51833333333333
2020-08-02,240.0,2.589,34.249,69.185,-53.51833333333333
2020-09-02,240.0,2.211,34.1506,69.185,-53.51833333333333
2020-09-04,240.0,1.985,34.0853,69.185,-53.51833333333333
2020-09-06,240.0,2.197,34.1295,69.185,-53.51833333333333
2020-09-26,240.0,2.675,34.2494,69.185,-53.51833333333333
2020-11-08,240.0,2.309,34.1172,69.185,-53.51833333333333
2021-06-18,240.0,1.958,34.1022,69.185,-53.51833333333333
2021-07-13,240.0,2.155,34.0934,69.185,-53.51833333333333
2021-10-26,240.0,1.89,34.0406,69.185,-53.51833333333333
2022-05-12,240.0,2.446,34.1337,69.185,-53.51833333333333
2022-06-15,240.0,2.6309,34.1541,69.185,-53.51833333333333
2022-07-23,240.0,2.5336,34.1601,69.185,-53.51833333333333
2022-07-27,240.0,2.5183,34.1424,69.185,-53.51833333333333
2022-07-28,240.0,2.5136,34.1458,69.185,-53.51833333333333
2022-08-18,240.0,2.0493,34.0357,69.185,-53.51833333333333
2022-09-09,240.0,1.957,33.9415,69.185,-53.51833333333333
2022-11-18,240.0,1.9765,33.955,69.185,-53.51833333333333
2022-12-11,240.0,2.6806,34.1666,69.185,-53.51833333333333
