date,lon,lat,temperature,salinity,pressure,depth
22/04/2021,-51.6186118,69.0684001,2.5679999999999996,34.169,242.52,239.93522557619676
23/04/2021,-51.7115425,69.0630769,2.5250000000000004,34.154,242.48,239.89567509327634
23/04/2021,-51.7606494,69.0489372,2.545,34.159,242.52,239.93522557619676
24/04/2021,-51.771571,69.0457921,2.5330000000000004,34.155,242.48,239.89567509327634
25/04/2021,-51.8550244,69.0392068,2.51,34.145,242.48,239.89567509327634
25/04/2021,-51.8633672,69.0395394,2.5490000000000004,34.162,242.48,239.89567509327634
26/04/2021,-51.8951905,69.0402896,2.545,34.16,242.48,239.89567509327634
26/04/2021,-51.9006793,69.0394445,2.516,34.147,242.56,239.9747760514827
26/04/2021,-51.9099771,69.0386793,2.5380000000000003,34.156,242.56,239.9747760514827
27/04/2021,-51.9113361,69.0380685,2.521,34.148,242.44,239.85612460272148
28/04/2021,-51.9214801,69.0380836,2.526,34.148,242.48,239.89567509327634
29/04/2021,-51.9344581,69.0394761,2.548,34.158,242.48,239.89567509327634
30/04/2021,-51.9427081,69.0410669,2.543,34.154,242.56,239.9747760514827
01/05/2021,-51.9456884,69.0432805,2.5380000000000003,34.151,242.52,239.93522557619676
02/05/2021,-51.9464142,69.0449451,2.5410000000000004,34.153,242.56,239.9747760514827
05/05/2021,-51.9468658,69.0459104,2.4989999999999997,34.134,242.52,239.93522557619676
08/05/2021,-51.9508173,69.0463011,2.482,34.128,242.56,239.9747760514827
11/05/2021,-51.958542,69.0466566,2.468,34.126,242.6,240.01432651913439
14/05/2021,-51.9635917,69.0470378,2.471,34.126,242.4,239.81657410453226
19/05/2021,-51.9638149,69.0477281,2.476,34.127,242.56,239.9747760514827
24/05/2021,-51.9682733,69.0486925,2.449,34.122,242.44,239.85612460272148
29/05/2021,-51.9816012,69.0496064,2.5789999999999997,34.16,242.52,239.93522557619676
03/06/2021,-51.978803,69.0506556,2.3,34.122,242.48,239.89567509327634
08/06/2021,-51.9757692,69.0491105,2.0549999999999997,34.105,242.48,239.89567509327634
13/06/2021,-51.985029,69.0458045,2.2409999999999997,34.127,242.48,239.89567509327634
18/06/2021,-51.9881633,69.0458145,2.4269999999999996,34.14,242.6,240.01432651913439
23/06/2021,-51.9828262,69.0469169,2.4480000000000004,34.138,242.56,239.9747760514827
28/06/2021,-51.9969555,69.0464471,2.3810000000000002,34.139,242.56,239.9747760514827
03/07/2021,-51.9993784,69.047164,2.3150000000000004,34.132,242.52,239.93522557619676
08/07/2021,-51.9946825,69.047256,2.3470000000000004,34.14,242.52,239.93522557619676
13/07/2021,-51.9895879,69.046441,2.266,34.109,242.56,239.9747760514827
18/07/2021,-51.9901445,69.0465094,2.1790000000000003,34.078,242.52,239.93522557619676
23/07/2021,-51.9833043,69.0461386,2.2939999999999996,34.117,242.6,240.01432651913439
28/07/2021,-51.9826773,69.048021,2.0060000000000002,34.067,242.52,239.93522557619676
02/08/2021,-51.9813218,69.0510229,2.0620000000000003,34.067,242.44,239.85612460272148
07/08/2021,-51.9756674,69.0517449,1.9180000000000001,34.026,242.48,239.89567509327634
12/08/2021,-51.9767242,69.0515561,1.867,33.999,242.4,239.81657410453226
17/08/2021,-51.9636843,69.0571994,1.9720000000000004,34.041,242.48,239.89567509327634
22/08/2021,-51.959797,69.0607109,1.6980000000000004,33.954,242.44,239.85612460272148
27/08/2021,-52.0238985,69.0665232,1.9349999999999996,34.029,242.52,239.93522557619676
01/09/2021,-52.0099333,69.0817964,2.002,34.051,242.48,239.89567509327634
06/09/2021,-52.020426,69.085627,1.8760000000000003,34.015,242.48,239.89567509327634
11/09/2021,-52.0027322,69.0871765,1.7430000000000003,33.988,242.52,239.93522557619676
16/09/2021,-51.9848633,69.0897992,1.9340000000000002,34.036,242.56,239.9747760514827
21/09/2021,-51.9818924,69.0924423,1.9180000000000001,34.026,242.48,239.89567509327634
26/09/2021,-51.975719,69.0960518,1.875,34.013,242.56,239.9747760514827
01/10/2021,-51.9729104,69.0997306,1.88,34.009,242.44,239.85612460272148
06/10/2021,-51.9711185,69.1013004,1.955,34.033,242.52,239.93522557619676
11/10/2021,-51.9678447,69.1033707,1.92,34.021,242.56,239.9747760514827
16/10/2021,-51.970564,69.1021376,1.8769999999999998,34.007,242.52,239.93522557619676
21/10/2021,-51.9678883,69.0959961,1.9050000000000002,34.024,242.52,239.93522557619676
26/10/2021,-51.9677295,69.0911512,1.9080000000000004,34.014,242.52,239.93522557619676
01/11/2021,-51.9710024,69.0901322,1.955,34.027,242.52,239.93522557619676
06/11/2021,-51.9821296,69.0927083,1.9249999999999998,33.862,242.48,239.89567509327634
11/11/2021,-51.989795,69.0939067,2.0060000000000002,34.037,242.52,239.93522557619676
16/11/2021,-51.9882407,69.093438,1.915,34.014,242.52,239.93522557619676
21/11/2021,-51.9816154,69.0929133,1.9450000000000003,34.022,242.52,239.93522557619676
26/11/2021,-51.9750316,69.094428,2.0759999999999996,34.039,242.56,239.9747760514827
01/12/2021,-51.9713869,69.0943735,2.051,34.023,242.52,239.93522557619676
06/12/2021,-51.981181,69.0931601,2.0170000000000003,34.011,242.44,239.85612460272148
11/12/2021,-51.9949535,69.0919738,2.3259999999999996,34.083,242.56,239.9747760514827
17/12/2021,-52.0037365,69.0917445,2.426,34.111,242.52,239.93522557619676
22/12/2021,-52.0090284,69.0914764,2.3070000000000004,34.085,242.52,239.93522557619676
27/12/2021,-52.0126574,69.0909871,2.346,34.097,242.52,239.93522557619676
01/01/2022,-52.0062075,69.0922608,2.2809999999999997,34.081,242.52,239.93522557619676
06/01/2022,-51.9943417,69.0939397,2.349,34.106,242.6,240.01432651913439
11/01/2022,-51.9893778,69.094651,2.351,34.096,242.52,239.93522557619676
16/01/2022,-51.9950142,69.0945626,2.3040000000000003,34.079,242.52,239.93522557619676
21/01/2022,-51.9928215,69.0933608,2.9450000000000003,34.116,242.48,239.89567509327634
27/01/2022,-51.9948815,69.0927636,2.979,34.155,242.48,239.89567509327634
01/02/2022,-51.9987956,69.0949413,2.6790000000000003,34.087,242.48,239.89567509327634
06/02/2022,-51.985653,69.0950683,2.729,34.044,242.52,239.93522557619676
11/02/2022,-51.9754275,69.0980682,2.5300000000000002,34.076,242.52,239.93522557619676
16/02/2022,-51.9575593,69.1026629,2.6399999999999997,34.052,242.56,239.9747760514827
03/03/2022,-51.9185458,69.1098688,2.5700000000000003,34.053,242.48,239.89567509327634
09/03/2022,-51.9135872,69.110233,2.6180000000000003,34.1,242.52,239.93522557619676
29/03/2022,-51.9241186,69.1057001,2.54,34.063,242.48,239.89567509327634
08/04/2022,-51.9362005,69.1040161,2.6079999999999997,34.111,242.52,239.93522557619676
13/04/2022,-51.9364446,69.1012788,2.6029999999999998,34.103,242.56,239.9747760514827
